region,year,month,hours_speed_ok,hours_direction_ok,hours_both_ok,hours_with_data,mean_speed_kt,days_met,pct_hours_speed,pct_hours_direction,pct_hours_both
50%,2024,3,184,131,52,744,14.743877121239809,3,24.731182795698924,17.607526881720432,6.989247311827957
50%,2024,4,270,176,79,720,17.24234426735996,4,37.5,24.444444444444443,10.972222222222221
50%,2024,5,26,103,12,744,10.629624953757672,0,3.4946236559139785,13.844086021505376,1.6129032258064515
50%,2024,6,70,158,18,720,11.853418008120961,2,9.722222222222221,21.944444444444443,2.5
50%,2024,7,56,125,15,744,11.865367224276586,0,7.526881720430108,16.801075268817204,2.0161290322580645
50%,2024,8,104,136,52,744,12.312293874240202,4,13.978494623655914,18.27956989247312,6.989247311827957
50%,2024,9,126,90,31,720,14.951916215649359,2,17.5,12.5,4.305555555555555
50%,2024,10,164,106,32,744,14.322413911208034,2,22.043010752688172,14.24731182795699,4.301075268817204
50%,2024,11,181,82,36,720,15.86716011425467,0,25.13888888888889,11.38888888888889,5.0
50%,2024,12,336,147,81,744,18.45325985532309,4,45.16129032258065,19.758064516129032,10.887096774193548
50%,2025,1,200,152,44,744,15.946564517625005,3,26.881720430107528,20.43010752688172,5.913978494623656
50%,2025,2,172,62,7,672,15.16862761200949,0,25.595238095238095,9.226190476190476,1.0416666666666667
50%,2025,3,17,99,4,744,11.746537618970088,0,2.28494623655914,13.306451612903226,0.5376344086021505
50%,2025,4,28,24,0,720,11.171246424513884,0,3.888888888888889,3.3333333333333335,0.0
50%,2025,5,65,107,36,744,13.596955604338287,4,8.736559139784946,14.381720430107526,4.838709677419355
50%,2025,6,97,151,46,720,12.745712656672303,2,13.472222222222221,20.97222222222222,6.388888888888889
50%,2025,7,41,139,22,744,10.249420668399955,1,5.510752688172043,18.682795698924732,2.956989247311828
50%,2025,8,84,101,29,744,12.738561418630413,2,11.290322580645162,13.575268817204302,3.8978494623655915
50%,2025,9,244,130,77,720,16.94307516805848,5,33.888888888888886,18.055555555555557,10.694444444444445
50%,2025,10,238,53,19,744,17.40728732804393,2,31.989247311827956,7.123655913978495,2.553763440860215
50%,2025,11,368,128,92,720,18.295662887226992,6,51.111111111111114,17.77777777777778,12.777777777777779
50%,2025,12,332,126,74,744,18.869939888237948,4,44.623655913978496,16.93548387096774,9.946236559139784
50%,2026,1,271,66,43,744,17.43315561702177,2,36.424731182795696,8.870967741935484,5.779569892473118
50%,2026,2,246,89,46,672,17.17008008192758,4,36.607142857142854,13.244047619047619,6.845238095238095
50%,2026,3,180,138,69,744,14.507255830512847,5,24.193548387096776,18.548387096774192,9.274193548387096
50%,2026,4,125,51,11,720,13.314539993090275,0,17.36111111111111,7.083333333333333,1.5277777777777777
50%,2026,5,54,92,24,744,11.424245336584006,1,7.258064516129032,12.365591397849462,3.225806451612903
50%,2026,6,58,107,27,720,12.790859400251723,1,8.055555555555555,14.86111111111111,3.75
50%,2026,7,24,53,1,744,11.547084333657516,0,3.225806451612903,7.123655913978495,0.13440860215053763
50%,2026,8,15,35,13,329,10.181231069427316,1,4.5592705167173255,10.638297872340425,3.951367781155015
